,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
489,Gloria de Paula,57.25,0.75,0.0,0.0,58.0,1.0,3.0,0.25,"[""Women's Strawweight""]"
490,Darian Weeks,67.33,2.0,0.0,0.0,69.33,0.0,3.0,0.0,['Welterweight']
491,Walt Harris,19.43,0.0,0.07,0.64,20.14,6.0,8.0,0.43,['Heavyweight']
492,Joselyne Edwards,70.71,1.0,0.29,0.0,72.0,4.0,3.0,0.57,"[""Women's Bantamweight"" ""Women's Featherweight""]"
493,Mick Parkin,67.0,1.5,0.0,0.0,68.5,2.0,0.0,1.0,['Heavyweight']
494,Kajan Johnson,30.86,1.29,0.14,0.29,32.58,4.0,3.0,0.57,['Lightweight']
495,Olivier Aubin-Mercier,30.25,1.92,0.42,0.17,32.760000000000005,7.0,5.0,0.58,['Lightweight' 'Welterweight']
496,Mike Whitehead,27.0,5.0,0.0,0.0,32.0,0.0,1.0,0.0,['Light Heavyweight']
497,Jim Alers,33.75,1.75,0.25,0.25,36.0,1.0,3.0,0.25,['Featherweight']
498,Martin Kampmann,28.69,0.81,1.31,0.31,31.119999999999997,11.0,5.0,0.69,['Welterweight' 'Middleweight']
499,Luan Chagas,48.25,0.25,0.25,1.0,49.75,1.0,3.0,0.25,['Welterweight']
500,Ricky Turcios,65.0,1.33,0.33,0.33,66.99,2.0,1.0,0.67,['Bantamweight']
501,Sasha Palatnikov,46.33,0.33,0.0,0.0,46.66,1.0,2.0,0.33,['Welterweight']
502,Nam Phan,75.88,0.12,0.12,0.0,76.12,2.0,6.0,0.25,['Bantamweight' 'Featherweight']
503,Ivan Jorge,41.0,1.25,0.5,0.0,42.75,2.0,2.0,0.5,['Lightweight' 'Welterweight']
504,Marcos Vinicius,19.67,0.0,0.33,0.0,20.0,1.0,2.0,0.33,['Flyweight' 'Bantamweight' 'Featherweight']
505,John Cholish,31.0,0.67,0.0,0.0,31.67,1.0,2.0,0.33,['Lightweight']
506,Karo Parisyan,29.25,4.25,0.75,0.0,34.25,8.0,4.0,0.67,['Welterweight']
507,Demetrious Johnson,47.38,2.38,0.38,0.38,50.52000000000001,8.0,0.0,1.0,['Flyweight' 'Bantamweight']
508,Niklas Stolze,16.0,0.33,0.33,0.0,16.659999999999997,0.0,3.0,0.0,['Lightweight' 'Welterweight']
509,Julian Erosa,42.73,0.73,0.27,0.09,43.82,4.0,7.0,0.36,['Featherweight' 'Lightweight']
510,Jessica Eye,54.29,0.64,0.5,0.0,55.43,5.0,9.0,0.36,"[""Women's Flyweight"" ""Women's Bantamweight""]"
511,Bernardo Magalhaes,27.0,0.0,0.5,0.0,27.5,0.0,2.0,0.0,['Lightweight']
512,Roque Martinez,43.0,0.33,0.33,0.0,43.66,0.0,3.0,0.0,['Heavyweight']
513,Ivan Menjivar,23.0,0.22,0.67,0.22,24.11,4.0,5.0,0.44,['Featherweight' 'Bantamweight' 'Lightweight']
